treatment,date,dissovled_o2,height_cm,leaf_count,leaves_removed,harvest_fresh_mass_g
No airstone + no fan speed,20190116,NA,2.0,NA,NA,NA
No airstone + no fan speed,20190122,NA,3.0,NA,NA,NA
No airstone + no fan speed,20190128,NA,7.0,16.0,4.0,NA
No airstone + no fan speed,20190204,5.9,8.0,24.0,NA,NA
No airstone + no fan speed,20190215,NA,10.0,34.0,NA,9.0
