treatment,date,dissovled_o2,height_cm,leaf_count,leaves_removed,harvest_fresh_mass_g
No airtstone + normal fan speed,20190116,NA,2.5,NA,NA,NA
No airtstone + normal fan speed,20190122,NA,4.0,NA,NA,NA
No airtstone + normal fan speed,20190128,NA,7.5,14.0,2.0,NA
No airtstone + normal fan speed,20190204,4.8,9.0,30.0,NA,NA
No airtstone + normal fan speed,20190215,NA,12.0,58.0,NA,9.0
