treatment,date,dissovled_o2,height_cm,leaf_count,leaves_removed,harvest_fresh_mass_g
Soil Germination + no fan + covered,20190116,NA,NA,NA,NA,NA
Soil Germination + no fan + covered,20190122,NA,NA,NA,NA,NA
Soil Germination + no fan + covered,20190128,NA,1.5,0.0,0.0,NA
Soil Germination + no fan + covered,20190204,NA,4.0,2.0,NA,NA
Soil Germination + no fan + covered,20190215,NA,NA,NA,NA,NA
