treatment,date,dissovled_o2,height_cm,leaf_count,leaves_removed,harvest_fresh_mass_g
No airtstone + normal fan speed,20190116,NA,3.0,NA,NA,NA
No airtstone + normal fan speed,20190122,NA,5.5,NA,NA,NA
No airtstone + normal fan speed,20190128,NA,12.0,34.0,10.0,NA
No airtstone + normal fan speed,20190204,4.9,13.0,40.0,NA,NA
No airtstone + normal fan speed,20190215,NA,21.0,75.0,NA,29.0
