treatment,date,dissovled_o2,height_cm,leaf_count,leaves_removed,harvest_fresh_mass_g
Airstone + no fan speed,20190116,NA,2.5,NA,NA,NA
Airstone + no fan speed,20190122,NA,5.0,NA,NA,NA
Airstone + no fan speed,20190128,NA,9.0,24.0,2.0,NA
Airstone + no fan speed,20190204,5.4,12.0,38.0,NA,NA
Airstone + no fan speed,20190215,NA,13.0,54.0,NA,31.0
