treatment,date,dissovled_o2,height_cm,leaf_count,leaves_removed,harvest_fresh_mass_g
Control (fan + airstone),20190116,NA,2.0,NA,NA,NA
Control (fan + airstone),20190122,NA,3.5,NA,NA,NA
Control (fan + airstone),20190128,NA,6.5,10.0,0.0,NA
Control (fan + airstone),20190204,6.4,11.0,30.0,NA,NA
Control (fan + airstone),20190215,NA,17.0,74.0,NA,14.0
