treatment,date,dissovled_o2,height_cm,leaf_count,leaves_removed,harvest_fresh_mass_g
Airstone + no fan speed,20190116,NA,3.0,NA,NA,NA
Airstone + no fan speed,20190122,NA,6.5,NA,NA,NA
Airstone + no fan speed,20190128,NA,12.0,38.0,6.0,NA
Airstone + no fan speed,20190204,6.3,15.0,80.0,NA,NA
Airstone + no fan speed,20190215,NA,24.0,182.0,NA,67.0
