treatment,date,dissovled_o2,height_cm,leaf_count,leaves_removed,harvest_fresh_mass_g
Control (fan + airstone),20190116,NA,NA,NA,NA,NA
Control (fan + airstone),20190122,NA,NA,NA,NA,NA
Control (fan + airstone),20190128,NA,NA,NA,NA,NA
Control (fan + airstone),20190204,NA,NA,NA,NA,NA
Control (fan + airstone),20190215,NA,NA,NA,NA,8.0
