time_utc,var,name,value
2019-02-06T09:02:17Z,air_carbon_dioxide_ppm,T6713-Top,111.0
2019-02-06T09:02:18Z,air_temperature_celcius,SHT25-Top,18.0
2019-02-06T09:02:19Z,air_humidity_percent,SHT25-Top,24.0
2019-02-06T09:07:11Z,air_carbon_dioxide_ppm,T6713-Top,103.0
2019-02-06T09:07:14Z,air_humidity_percent,SHT25-Top,24.0
2019-02-06T09:07:20Z,air_temperature_celcius,SHT25-Top,18.0
2019-02-06T09:12:09Z,air_humidity_percent,SHT25-Top,24.0
2019-02-06T09:12:10Z,air_temperature_celcius,SHT25-Top,18.0
2019-02-06T09:12:14Z,air_carbon_dioxide_ppm,T6713-Top,110.0
2019-02-06T09:17:09Z,air_humidity_percent,SHT25-Top,24.0
2019-02-06T09:17:11Z,air_temperature_celcius,SHT25-Top,19.0
2019-02-06T09:17:13Z,air_carbon_dioxide_ppm,T6713-Top,123.0
2019-02-06T09:22:11Z,air_temperature_celcius,SHT25-Top,19.0
2019-02-06T09:22:13Z,air_humidity_percent,SHT25-Top,23.0
2019-02-06T09:22:14Z,air_carbon_dioxide_ppm,T6713-Top,124.0
2019-02-06T09:27:11Z,air_humidity_percent,SHT25-Top,23.0
2019-02-06T09:27:16Z,air_carbon_dioxide_ppm,T6713-Top,134.0
2019-02-06T09:27:20Z,air_temperature_celcius,SHT25-Top,19.0
2019-02-06T09:32:13Z,air_humidity_percent,SHT25-Top,23.0
2019-02-06T09:32:17Z,air_carbon_dioxide_ppm,T6713-Top,123.0
2019-02-06T09:32:20Z,air_temperature_celcius,SHT25-Top,20.0
2019-02-06T09:37:16Z,air_humidity_percent,SHT25-Top,22.0
2019-02-06T09:37:17Z,air_temperature_celcius,SHT25-Top,20.0
2019-02-06T09:37:22Z,air_carbon_dioxide_ppm,T6713-Top,120.0
2019-02-06T09:42:17Z,air_carbon_dioxide_ppm,T6713-Top,121.0
2019-02-06T09:42:20Z,air_humidity_percent,SHT25-Top,22.0
2019-02-06T09:42:23Z,air_temperature_celcius,SHT25-Top,21.0
2019-02-06T09:47:16Z,air_humidity_percent,SHT25-Top,21.0
2019-02-06T09:47:21Z,air_carbon_dioxide_ppm,T6713-Top,119.0
2019-02-06T09:47:25Z,air_temperature_celcius,SHT25-Top,22.0
2019-02-06T09:52:17Z,air_humidity_percent,SHT25-Top,21.0
2019-02-06T09:52:18Z,air_temperature_celcius,SHT25-Top,22.0
2019-02-06T09:52:21Z,air_carbon_dioxide_ppm,T6713-Top,115.0
2019-02-06T09:57:23Z,air_humidity_percent,SHT25-Top,22.0
2019-02-06T09:57:24Z,air_temperature_celcius,SHT25-Top,22.0
2019-02-06T09:57:27Z,air_carbon_dioxide_ppm,T6713-Top,152.0
2019-02-06T10:02:16Z,air_humidity_percent,SHT25-Top,22.0
2019-02-06T10:02:17Z,air_temperature_celcius,SHT25-Top,22.0
2019-02-06T10:02:19Z,air_carbon_dioxide_ppm,T6713-Top,159.0
2019-02-06T10:07:25Z,air_carbon_dioxide_ppm,T6713-Top,141.0
2019-02-06T10:07:28Z,air_humidity_percent,SHT25-Top,21.0
2019-02-06T10:07:28Z,air_temperature_celcius,SHT25-Top,23.0
2019-02-06T15:34:46Z,air_carbon_dioxide_ppm,T6713-Top,120.0
2019-02-06T15:34:48Z,air_temperature_celcius,SHT25-Top,21.0
