time_utc,var,name,value
2019-01-22T12:13:17Z,air_carbon_dioxide_ppm,T6713-Top,1408.0
2019-01-22T12:13:19Z,air_temperature_celcius,SHT25-Top,24.0
2019-01-22T12:13:20Z,air_humidity_percent,SHT25-Top,8.0
2019-01-22T12:18:17Z,air_humidity_percent,SHT25-Top,9.0
2019-01-22T12:18:18Z,air_temperature_celcius,SHT25-Top,24.0
2019-01-22T12:18:21Z,air_carbon_dioxide_ppm,T6713-Top,1415.0
2019-01-22T12:23:18Z,air_carbon_dioxide_ppm,T6713-Top,1393.0
2019-01-22T12:23:20Z,air_temperature_celcius,SHT25-Top,24.0
2019-01-22T12:23:21Z,air_humidity_percent,SHT25-Top,8.0
2019-01-22T12:28:18Z,air_humidity_percent,SHT25-Top,9.0
2019-01-22T12:28:19Z,air_carbon_dioxide_ppm,T6713-Top,1392.0
2019-01-22T12:28:22Z,air_temperature_celcius,SHT25-Top,25.0
2019-01-22T12:33:19Z,air_carbon_dioxide_ppm,T6713-Top,1408.0
2019-01-22T12:33:20Z,air_humidity_percent,SHT25-Top,9.0
2019-01-22T12:33:22Z,air_temperature_celcius,SHT25-Top,25.0
2019-01-22T12:38:19Z,air_carbon_dioxide_ppm,T6713-Top,1415.0
2019-01-22T12:38:22Z,air_temperature_celcius,SHT25-Top,25.0
2019-01-22T12:38:23Z,air_humidity_percent,SHT25-Top,9.0
2019-01-22T12:43:19Z,air_carbon_dioxide_ppm,T6713-Top,1398.0
2019-01-22T12:43:22Z,air_humidity_percent,SHT25-Top,8.0
2019-01-22T12:43:23Z,air_temperature_celcius,SHT25-Top,25.0
2019-01-22T12:48:19Z,air_carbon_dioxide_ppm,T6713-Top,1415.0
2019-01-22T12:48:22Z,air_humidity_percent,SHT25-Top,9.0
2019-01-22T12:48:23Z,air_temperature_celcius,SHT25-Top,25.0
2019-01-22T12:53:19Z,air_temperature_celcius,SHT25-Top,25.0
2019-01-22T12:53:21Z,air_carbon_dioxide_ppm,T6713-Top,1420.0
2019-01-22T12:53:23Z,air_humidity_percent,SHT25-Top,9.0
2019-01-22T12:58:20Z,air_carbon_dioxide_ppm,T6713-Top,1416.0
2019-01-22T12:58:21Z,air_humidity_percent,SHT25-Top,9.0
2019-01-22T12:58:24Z,air_temperature_celcius,SHT25-Top,25.0
2019-01-22T13:03:22Z,air_carbon_dioxide_ppm,T6713-Top,1423.0
2019-01-22T13:03:23Z,air_humidity_percent,SHT25-Top,9.0
2019-01-22T13:03:24Z,air_temperature_celcius,SHT25-Top,25.0
2019-01-22T13:08:21Z,air_temperature_celcius,SHT25-Top,25.0
2019-01-22T13:08:23Z,air_carbon_dioxide_ppm,T6713-Top,1416.0
2019-01-22T13:08:25Z,air_humidity_percent,SHT25-Top,9.0
