time_utc,var,name,value
2019-02-04T10:50:46Z,air_humidity_percent,SHT25-Top,29.0
2019-02-04T10:55:43Z,air_temperature_celcius,SHT25-Top,23.0
2019-02-04T10:55:47Z,air_humidity_percent,SHT25-Top,28.0
2019-02-04T10:55:52Z,air_carbon_dioxide_ppm,T6713-Top,479.0
2019-02-04T11:00:39Z,air_carbon_dioxide_ppm,T6713-Top,553.0
2019-02-04T11:00:45Z,air_humidity_percent,SHT25-Top,28.0
2019-02-04T11:00:49Z,air_temperature_celcius,SHT25-Top,23.0
2019-02-04T11:05:39Z,air_temperature_celcius,SHT25-Top,23.0
2019-02-04T11:05:46Z,air_carbon_dioxide_ppm,T6713-Top,617.0
2019-02-04T11:05:49Z,air_humidity_percent,SHT25-Top,28.0
2019-02-04T11:10:42Z,air_humidity_percent,SHT25-Top,28.0
2019-02-04T11:10:43Z,air_temperature_celcius,SHT25-Top,24.0
2019-02-04T11:10:49Z,air_carbon_dioxide_ppm,T6713-Top,550.0
2019-02-04T11:15:42Z,air_temperature_celcius,SHT25-Top,23.0
2019-02-04T11:15:45Z,air_humidity_percent,SHT25-Top,28.0
2019-02-04T11:15:48Z,air_carbon_dioxide_ppm,T6713-Top,475.0
2019-02-04T11:20:55Z,air_temperature_celcius,SHT25-Top,24.0
2019-02-04T11:20:56Z,air_humidity_percent,SHT25-Top,28.0
2019-02-04T11:21:00Z,air_carbon_dioxide_ppm,T6713-Top,530.0
2019-02-04T11:25:44Z,air_carbon_dioxide_ppm,T6713-Top,486.0
2019-02-04T11:25:59Z,air_temperature_celcius,SHT25-Top,24.0
2019-02-04T11:26:02Z,air_humidity_percent,SHT25-Top,28.0
2019-02-04T11:30:54Z,air_temperature_celcius,SHT25-Top,25.0
2019-02-04T11:30:57Z,air_humidity_percent,SHT25-Top,27.0
2019-02-04T11:31:00Z,air_carbon_dioxide_ppm,T6713-Top,509.0
2019-02-04T11:35:57Z,air_temperature_celcius,SHT25-Top,25.0
2019-02-04T11:35:57Z,air_humidity_percent,SHT25-Top,26.0
2019-02-04T11:36:04Z,air_carbon_dioxide_ppm,T6713-Top,484.0
2019-02-04T11:40:43Z,air_humidity_percent,SHT25-Top,26.0
2019-02-04T11:40:45Z,air_temperature_celcius,SHT25-Top,25.0
2019-02-04T11:40:47Z,air_carbon_dioxide_ppm,T6713-Top,455.0
2019-02-04T11:45:45Z,air_humidity_percent,SHT25-Top,27.0
2019-02-04T11:45:50Z,air_carbon_dioxide_ppm,T6713-Top,448.0
2019-02-04T11:45:51Z,air_temperature_celcius,SHT25-Top,25.0
2019-02-04T11:50:48Z,air_carbon_dioxide_ppm,T6713-Top,442.0
2019-02-04T11:50:54Z,air_temperature_celcius,SHT25-Top,24.0
2019-02-04T11:50:57Z,air_humidity_percent,SHT25-Top,27.0
2019-02-04T11:55:47Z,air_temperature_celcius,SHT25-Top,24.0
2019-02-04T11:55:49Z,air_humidity_percent,SHT25-Top,27.0
2019-02-04T11:55:51Z,air_carbon_dioxide_ppm,T6713-Top,438.0
2019-02-04T12:00:47Z,air_carbon_dioxide_ppm,T6713-Top,435.0
2019-02-04T12:00:51Z,air_temperature_celcius,SHT25-Top,24.0
2019-02-04T12:00:52Z,air_humidity_percent,SHT25-Top,27.0
2019-02-04T12:05:48Z,air_humidity_percent,SHT25-Top,27.0
2019-02-04T12:05:49Z,air_temperature_celcius,SHT25-Top,24.0
2019-02-04T12:05:55Z,air_carbon_dioxide_ppm,T6713-Top,430.0
2019-02-04T12:10:53Z,air_carbon_dioxide_ppm,T6713-Top,443.0
2019-02-04T12:10:56Z,air_humidity_percent,SHT25-Top,28.0
2019-02-04T12:10:59Z,air_temperature_celcius,SHT25-Top,24.0
2019-02-04T12:15:48Z,air_carbon_dioxide_ppm,T6713-Top,443.0
2019-02-04T12:15:54Z,air_temperature_celcius,SHT25-Top,25.0
2019-02-04T12:15:55Z,air_humidity_percent,SHT25-Top,27.0
2019-02-04T12:20:47Z,air_carbon_dioxide_ppm,T6713-Top,439.0
2019-02-04T12:20:55Z,air_humidity_percent,SHT25-Top,27.0
2019-02-04T12:20:58Z,air_temperature_celcius,SHT25-Top,25.0
2019-02-04T12:25:49Z,air_temperature_celcius,SHT25-Top,25.0
2019-02-04T12:25:51Z,air_humidity_percent,SHT25-Top,27.0
2019-02-04T12:25:53Z,air_carbon_dioxide_ppm,T6713-Top,438.0
2019-02-04T12:30:52Z,air_carbon_dioxide_ppm,T6713-Top,437.0
2019-02-04T12:31:00Z,air_temperature_celcius,SHT25-Top,25.0
2019-02-04T12:31:01Z,air_humidity_percent,SHT25-Top,27.0
2019-02-04T12:35:48Z,air_temperature_celcius,SHT25-Top,25.0
