treatment,date,dissovled_o2,height_cm,leaf_count,leaves_removed,harvest_fresh_mass_g
Airstone + no fan speed,20190116,NA,2.5,NA,NA,NA
Airstone + no fan speed,20190122,NA,5.5,NA,NA,NA
Airstone + no fan speed,20190128,NA,9.0,38.0,4.0,NA
Airstone + no fan speed,20190204,4.1,13.0,52.0,NA,NA
Airstone + no fan speed,20190215,NA,17.0,122.0,NA,60.0
