treatment,date,dissovled_o2,height_cm,leaf_count,leaves_removed,harvest_fresh_mass_g
Airstone + no fan speed,20190116,NA,2.5,NA,NA,NA
Airstone + no fan speed,20190122,NA,4.5,NA,NA,NA
Airstone + no fan speed,20190128,NA,8.0,18.0,4.0,NA
Airstone + no fan speed,20190204,6.5,11.0,46.0,NA,NA
Airstone + no fan speed,20190215,NA,19.0,128.0,NA,43.0
